ind_a,ind_b,pair,total_return,n_trades,win_rate
macd_hist,roc_30,macd_hist+roc_30,-0.013371624789734082,180,0.4111111111111111
sma_ratio,roc_10,sma_ratio+roc_10,-0.013420872218323221,182,0.41208791208791207
stoch_k,aroon_up,stoch_k+aroon_up,-0.013544644796974148,141,0.3546099290780142
macd_hist,aroon_osc,macd_hist+aroon_osc,-0.01398864082833251,99,0.3333333333333333
roc_10,trend_strength,roc_10+trend_strength,-0.013988942413270089,191,0.39790575916230364
cci_20,aroon_up,cci_20+aroon_up,-0.01403092268396866,150,0.38666666666666666
cci_20,aroon_osc,cci_20+aroon_osc,-0.014065924047177436,133,0.39849624060150374
rsi_14,aroon_osc,rsi_14+aroon_osc,-0.014338119826754703,119,0.35294117647058826
sma_ratio,adx_14,sma_ratio+adx_14,-0.014350190695902487,170,0.4176470588235294
williams_r_14,aroon_up,williams_r_14+aroon_up,-0.014426484043061238,135,0.35555555555555557
roc_10,aroon_osc,roc_10+aroon_osc,-0.01469188566563584,100,0.34
keltner_pct,aroon_osc,keltner_pct+aroon_osc,-0.014795147124066377,130,0.38461538461538464
bb_pct,stoch_k,bb_pct+stoch_k,-0.01482367473926438,168,0.39880952380952384
adx_14,trend_strength,adx_14+trend_strength,-0.014902735398722666,170,0.40588235294117647
ema_ratio,adx_14,ema_ratio+adx_14,-0.015000743310839115,168,0.4166666666666667
ret_6,aroon_osc,ret_6+aroon_osc,-0.01514064934488335,110,0.34545454545454546
sma_ratio,trend_strength,sma_ratio+trend_strength,-0.015307198353334162,192,0.4166666666666667
rsi_14,ret_6,rsi_14+ret_6,-0.015388032521673645,91,0.3516483516483517
sma_ratio,ret_3,sma_ratio+ret_3,-0.015452684709240883,186,0.43010752688172044
roc_30,ret_6,roc_30+ret_6,-0.01550293583450435,194,0.42783505154639173
bb_pct,cci_20,bb_pct+cci_20,-0.01574466765851157,171,0.4269005847953216
roc_30,adx_14,roc_30+adx_14,-0.015937472653829055,169,0.40236686390532544
ret_1,adx_14,ret_1+adx_14,-0.015968415707745875,169,0.40236686390532544
sma_ratio,ret_6,sma_ratio+ret_6,-0.016171112746233507,182,0.4175824175824176
roc_10,roc_30,roc_10+roc_30,-0.016233254628723826,193,0.40414507772020725
macd_hist,trend_strength,macd_hist+trend_strength,-0.016398840380720925,182,0.4010989010989011
keltner_pct,aroon_up,keltner_pct+aroon_up,-0.016554556715752233,146,0.363013698630137
stoch_k,ret_1,stoch_k+ret_1,-0.01681433397621024,149,0.3825503355704698
stoch_k,williams_r_14,stoch_k+williams_r_14,-0.01683945251193608,177,0.3954802259887006
ema_ratio,trend_strength,ema_ratio+trend_strength,-0.01747063666837856,197,0.41116751269035534
williams_r_14,ret_1,williams_r_14+ret_1,-0.017580035441388753,123,0.34959349593495936
roc_10,ret_6,roc_10+ret_6,-0.017618375049457402,202,0.400990099009901
ema_ratio,ret_1,ema_ratio+ret_1,-0.017795404886650545,188,0.4308510638297872
ret_3,keltner_pct,ret_3+keltner_pct,-0.017810132704439208,106,0.3584905660377358
stoch_k,ret_3,stoch_k+ret_3,-0.01787554839015859,108,0.3611111111111111
aroon_osc,adx_14,aroon_osc+adx_14,-0.0179147161946277,136,0.375
roc_30,trend_strength,roc_30+trend_strength,-0.018024072179885664,198,0.41919191919191917
ret_6,adx_14,ret_6+adx_14,-0.018026572487491177,177,0.3672316384180791
ema_ratio,ret_3,ema_ratio+ret_3,-0.0180995186331252,193,0.41968911917098445
williams_r_14,keltner_pct,williams_r_14+keltner_pct,-0.018319189153637505,158,0.4050632911392405
stoch_k,cci_20,stoch_k+cci_20,-0.018727563919733403,167,0.38922155688622756
ema_ratio,roc_30,ema_ratio+roc_30,-0.01877345582397294,194,0.41237113402061853
rsi_14,williams_r_14,rsi_14+williams_r_14,-0.018776988108634818,148,0.33783783783783783
williams_r_14,adx_14,williams_r_14+adx_14,-0.018803579473825827,153,0.35947712418300654
ret_6,aroon_up,ret_6+aroon_up,-0.019173805845981162,154,0.37012987012987014
williams_r_14,cci_20,williams_r_14+cci_20,-0.019178511386513053,161,0.37267080745341613
roc_10,ret_3,roc_10+ret_3,-0.019200975638101858,199,0.3969849246231156
macd_hist,roc_10,macd_hist+roc_10,-0.01934140713817445,203,0.3645320197044335
macd_hist,ret_3,macd_hist+ret_3,-0.019831954829042764,195,0.37948717948717947
roc_10,ret_1,roc_10+ret_1,-0.020016625883355066,193,0.40414507772020725
stoch_k,adx_14,stoch_k+adx_14,-0.020439921144907447,160,0.34375
sma_ratio,ret_1,sma_ratio+ret_1,-0.02073471537214666,184,0.41304347826086957
ema_ratio,sma_ratio,ema_ratio+sma_ratio,-0.021045758582977636,193,0.38341968911917096
rsi_14,cci_20,rsi_14+cci_20,-0.021598475303653997,148,0.33783783783783783
roc_10,adx_14,roc_10+adx_14,-0.021728896597415503,174,0.3448275862068966
rsi_14,ret_3,rsi_14+ret_3,-0.021731713631259475,123,0.3170731707317073
bb_pct,ret_1,bb_pct+ret_1,-0.021882389905988786,141,0.36879432624113473
bb_pct,adx_14,bb_pct+adx_14,-0.02189549541263136,153,0.37254901960784315
rsi_14,aroon_up,rsi_14+aroon_up,-0.021957076051301594,137,0.31386861313868614
roc_30,ret_1,roc_30+ret_1,-0.021965184939363613,192,0.3958333333333333
ret_3,trend_strength,ret_3+trend_strength,-0.022366696499143135,198,0.3888888888888889
aroon_up,aroon_osc,aroon_up+aroon_osc,-0.022483603623606907,151,0.33112582781456956
bb_pct,williams_r_14,bb_pct+williams_r_14,-0.022611660180048454,168,0.3630952380952381
rsi_14,ret_1,rsi_14+ret_1,-0.02287330630907891,138,0.30434782608695654
cci_20,ret_1,cci_20+ret_1,-0.023320174319562348,159,0.3836477987421384
rsi_14,keltner_pct,rsi_14+keltner_pct,-0.023355851789881865,151,0.33774834437086093
ret_1,keltner_pct,ret_1+keltner_pct,-0.02361516590342494,135,0.3333333333333333
stoch_k,keltner_pct,stoch_k+keltner_pct,-0.023856798005076785,162,0.35802469135802467
macd_hist,adx_14,macd_hist+adx_14,-0.023943105024137767,178,0.33707865168539325
macd_hist,ret_1,macd_hist+ret_1,-0.02397439028014725,199,0.36683417085427134
rsi_14,adx_14,rsi_14+adx_14,-0.024681869152858416,142,0.30985915492957744
rsi_14,bb_pct,rsi_14+bb_pct,-0.024803317991420437,150,0.31333333333333335
ret_1,ret_6,ret_1+ret_6,-0.025249761841911855,201,0.373134328358209
keltner_pct,adx_14,keltner_pct+adx_14,-0.025260965643492672,153,0.35947712418300654
cci_20,keltner_pct,cci_20+keltner_pct,-0.025299814798894316,165,0.36363636363636365
cci_20,adx_14,cci_20+adx_14,-0.02554613744358103,153,0.3464052287581699
bb_pct,keltner_pct,bb_pct+keltner_pct,-0.025820099218544668,167,0.3652694610778443
macd_hist,ret_6,macd_hist+ret_6,-0.02591368709324604,204,0.3627450980392157
rsi_14,stoch_k,rsi_14+stoch_k,-0.026157295107762768,155,0.2903225806451613
ret_1,ret_3,ret_1+ret_3,-0.026384114968386663,199,0.36180904522613067
roc_30,ret_3,roc_30+ret_3,-0.02696089139690694,200,0.375
aroon_up,adx_14,aroon_up+adx_14,-0.02913924057249684,165,0.32727272727272727
